Feature,Importance,Feature_clean
num__Curricular units 2nd sem (approved),0.09964329437162052,Curricular units 2nd sem (approved)
num__Curricular units 2nd sem (grade),0.08264402379526145,Curricular units 2nd sem (grade)
num__Curricular units 1st sem (grade),0.06236326409070671,Curricular units 1st sem (grade)
num__Curricular units 1st sem (approved),0.061379649643607134,Curricular units 1st sem (approved)
num__Curricular units 2nd sem (evaluations),0.04553642023093032,Curricular units 2nd sem (evaluations)
num__Curricular units 1st sem (evaluations),0.04070853165434243,Curricular units 1st sem (evaluations)
num__Age at enrollment,0.040081332788226516,Age at enrollment
bin__Tuition fees up to date,0.029541482819438858,Tuition fees up to date
num__GDP,0.026088516418705403,GDP
num__Unemployment rate,0.0256673584331268,Unemployment rate
num__Inflation rate,0.02361432501843544,Inflation rate
num__Curricular units 2nd sem (enrolled),0.02063968614249088,Curricular units 2nd sem (enrolled)
num__Curricular units 1st sem (enrolled),0.01948930458118746,Curricular units 1st sem (enrolled)
bin__Scholarship holder,0.01671635160753409,Scholarship holder
num__Application order,0.016604897604052746,Application order
bin__Gender,0.01190182799671461,Gender
bin__Debtor,0.011895302201667655,Debtor
cat__Application mode_1,0.010766895788637602,Application mode_1
bin__Displaced,0.009977808718509075,Displaced
cat__Mother's occupation_10,0.009227461487416521,Mother's occupation_10
cat__Father's occupation_10,0.00843663107241274,Father's occupation_10
cat__Mother's qualification_1,0.008278330080468662,Mother's qualification_1
cat__Father's qualification_27,0.008216958382308867,Father's qualification_27
cat__Father's qualification_14,0.008207808577611525,Father's qualification_14
cat__Mother's qualification_13,0.00814078580736055,Mother's qualification_13
cat__Father's qualification_1,0.0074962903172221965,Father's qualification_1
num__Curricular units 1st sem (credited),0.007472891786169678,Curricular units 1st sem (credited)
cat__Mother's occupation_5,0.007275922175158366,Mother's occupation_5
cat__Application mode_12,0.006979918309487032,Application mode_12
cat__Application mode_8,0.006956725771672239,Application mode_8
cat__Mother's qualification_22,0.006909706139891707,Mother's qualification_22
cat__Father's qualification_28,0.006687613844922055,Father's qualification_28
